rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16828,bitch,VERB,2,2,0,0
16829,disobedient,ADJ,2,2,0,0
16830,figurine,NOUN,2,2,0,0
16831,ful,NOUN,2,2,0,0
16832,brier,NOUN,2,2,0,0
16833,hound,VERB,2,2,0,0
16834,vacate,VERB,2,2,0,0
16835,peer,NOUN,2,2,0,0
16836,writ,NOUN,2,2,0,0
16837,faking,NOUN,2,2,0,0
16838,protuberant,ADJ,2,2,0,0
16839,wanting,NOUN,2,2,0,0
16840,owing,ADJ,2,2,0,0
16841,ration,VERB,2,2,0,0
16842,wed,VERB,2,2,0,0
16843,prettiness,NOUN,2,2,0,0
16844,pitiless,NOUN,2,2,0,0
16845,seep,VERB,2,2,0,0
16846,oblivious,ADJ,2,2,0,0
16847,indefatigably,ADV,2,2,0,0
16848,pillowslip,NOUN,2,2,0,0
16849,martin,NOUN,2,2,0,0
16850,jerky,ADJ,2,2,0,0
16851,evocative,ADJ,2,2,0,0
16852,aura,NOUN,2,2,0,0
16853,soldiering,NOUN,2,2,0,0
16854,Frontier,PROPN,2,2,0,1
16855,jar,VERB,2,2,0,0
16856,moonless,ADJ,2,2,0,0
16857,shoo,VERB,2,2,0,0
16858,stank,ADJ,2,2,0,0
16859,pleading,NOUN,2,2,0,0
16860,voiceless,ADJ,2,2,0,0
16861,shirt,VERB,2,2,0,0
